Date,Date Processed,Description,Amount
07/07/2026,07/07/2026,INTEREST CHARGES,8.55
07/07/2026,07/07/2026,"PayID Payment Received, Thank you",-1292.00
06/07/2026,07/07/2026,BP BAULKHAM HILLS       BAULKHAM HILL,78.51
06/07/2026,06/07/2026,TRANSPORT FOR NSW-OPAL  CHIPPENDALE,20.00
05/07/2026,07/07/2026,COLES 970 ROPES CROSSIN ROPES CROSSING,58.95
02/07/2026,02/07/2026,AMAZON MARKETPLACE AU   SYDNEY,129.95
01/07/2026,02/07/2026,GOOGLE*CLOUD FN6XLG GOO CC GOOGLE.COM,0.03
01/07/2026,02/07/2026,TRANSPORT FOR NSW-OPAL  CHIPPENDALE,20.00
30/06/2026,01/07/2026,LINKT SYDNEY            SYDNEY,51.08
30/06/2026,01/07/2026,TRANSPORT FOR NSW-OPAL  CHIPPENDALE,20.00
29/06/2026,01/07/2026,COLES 970 ROPES CROSSIN ROPES CROSSING,36.65
28/06/2026,30/06/2026,MCDONALDS ST MARYS NORT NORTH ST MARYS,11.20
27/06/2026,28/06/2026,WOOLWORTHS 1422 NORWEST BELLA VISTA,21.95
25/06/2026,27/06/2026,MCDONALDS CASTLE TOWERS CASTLE HILL,11.80
25/06/2026,26/06/2026,UNIQLO CASTLE TOWERS    CASTLE HILL,110.00
24/06/2026,25/06/2026,BP BAULKHAM HILLS       BAULKHAM HILL,73.34
24/06/2026,26/06/2026,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,32.99
24/06/2026,26/06/2026,PAYPAL *ALDIMOBILE ALDI 01300989000,29.00
24/06/2026,24/06/2026,"PayID Payment Received, Thank you",-139.21
23/06/2026,24/06/2026,TRANSPORT FOR NSW-OPAL  CHIPPENDALE,20.00
21/06/2026,21/06/2026,AMZNPRIMEA* AMZNPRIMEA  SYDNEY SOUTH,9.99
21/06/2026,23/06/2026,COLES 970 ROPES CROSSIN ROPES CROSSING,69.00
20/06/2026,21/06/2026,ANTHROPIC* CLAUDE SUB   SAN FRANCISCO,34.00
19/06/2026,20/06/2026,LINKT SYDNEY            SYDNEY,51.08
19/06/2026,21/06/2026,MCDONALDS ST MARYS NORT NORTH ST MARYS,26.95
18/06/2026,19/06/2026,"KAYOSPORTS, BINGE, DAZN ARTARMON",45.99
17/06/2026,18/06/2026,TRANSPORT FOR NSW-OPAL  CHIPPENDALE,20.00
15/06/2026,17/06/2026,MCDONALDS NORWEST II 18 BELLA VISTA,16.90
14/06/2026,16/06/2026,COLES WINSTON HILLS 843 WINSTON HILLS,51.20
13/06/2026,13/06/2026,PRIME VIDE* AD FREE FO  SYDNEY,2.99
11/06/2026,12/06/2026,TRANSPORT FOR NSW-OPAL  CHIPPENDALE,20.00
08/06/2026,08/06/2026,CAFE GRITA              Strathfield,66.49
07/06/2026,09/06/2026,MCDONALDS NORTHMEAD 005 NORTHMEAD,25.55
07/06/2026,08/06/2026,Sydney Airport S802022  Syd Intl Termin,24.08
07/06/2026,09/06/2026,WOOLWORTHS 1757 WINSTON WINSTON HILLS,49.95
