Date,Description,Debit,Credit,Category,SubCategory
18/06/2026,San Jose Place         Sydney        Au,3.70,,Food & Beverage,Dining out
18/06/2026,Juicychat.Ai           Santa Venera  Mt Frgn Amt:        3.00 Us Dollar,4.26,,Entertainment & Recreation,"TV, Movies, Music & Games"
18/06/2026,Foreign Transaction Fee,.13,,Fees & Charges,Fees & Charges
22/06/2026,Northern Beaches Hospi Frenchs Fores Au,22.22,,Transport & Travel,Parking & Tolls
22/06/2026,Ahm Health Insurance   Wollongong    Au,127.37,,Bills & Payments,Insurance
29/06/2026,Dbs*Anytime Fitness  W Winston Hills Au,51.90,,Bills & Payments,Memberships
29/06/2026,Bite* Bbcasa De Filo P Sancrox       Au,21.67,,Food & Beverage,Dining out
01/07/2026,Cityheroes Haymarket   Haymarket     Au,33.50,,Entertainment & Recreation,Sports & Leisure
01/07/2026,Three Wise Monkeys     Sydney        Au,14.24,,Food & Beverage,Beverages
02/07/2026,Gia Hoi - Haymarket    Haymarket     Au,21.29,,Food & Beverage,Dining out
02/07/2026,Gia Hoi - Haymarket    Haymarket     Au,9.12,,Food & Beverage,Dining out
06/07/2026,Jcmc Management Co P   Chatswood     Au,56.26,,Food & Beverage,Dining out
08/07/2026,Phone/Internet Tfr From    0000439102433,,630.82,Deposits,Funds transfer
10/07/2026,Juicychat.Ai           Santa Venera  Mt Frgn Amt:       43.99 Us Dollar,63.71,,Entertainment & Recreation,"TV, Movies, Music & Games"
10/07/2026,Foreign Transaction Fee,1.91,,Fees & Charges,Fees & Charges
10/07/2026,Juicychat.Ai           Santa Venera  Mt Frgn Amt:        3.00 Us Dollar,4.34,,Entertainment & Recreation,"TV, Movies, Music & Games"
10/07/2026,Foreign Transaction Fee,.13,,Fees & Charges,Fees & Charges
13/07/2026,Jeffrey Sung Ming Liu  Bella Vista   Au,60.15,,Retail & Personal,Medical & Personal care
13/07/2026,Jeffrey Sung Ming Liu  Bella Vista   Au,1.00,,Retail & Personal,Medical & Personal care
13/07/2026,Dbs*Anytime Fitness  W Winston Hills Au,51.90,,Bills & Payments,Memberships
13/07/2026,The Yook               Baulkham Hill Au,104.54,,Food & Beverage,Dining out
